Gene_name NCBI_gene_ID Gene_type
SPACA7 122258 protein_coding
ABCC6 368 protein_coding
TUBGCP3 10426 protein_coding
LY6G5B 58496 protein_coding
HLA-DPA1 3113 protein_coding
CCHCR1 54535 protein_coding
SERPINA1 5265 protein_coding
MPV17L 255027 protein_coding
C6orf136 221545 protein_coding
NTAN1 123803 protein_coding
PRIMA1 145270 protein_coding
IFI27 3429 protein_coding
MYO19 80179 protein_coding
NPIPA3 642778 protein_coding
PPP4R4 57718 protein_coding
BMERB1 89927 protein_coding
VPS52 6293 protein_coding
MOAP1 64112 protein_coding
TMEM251 26175 protein_coding
BFAR 51283 protein_coding
SERPINA6 866 protein_coding
TSPY4 728395 protein_coding
BTBD7 55727 protein_coding
 255027 protein_coding
PRY 9081 protein_coding
LPCAT1 79888 protein_coding
NDE1 54820 protein_coding
KIFC1 3833 protein_coding
IFI27L1 122509 protein_coding
VCY1B 353513 protein_coding
CLPTM1L 81037 protein_coding
TAPBP 6892 protein_coding
USP9Y 8287 protein_coding
USP9Y 64595 protein_coding
MARF1 9665 protein_coding
UNC79 57578 protein_coding
PCGF2 7703 protein_coding
NOTCH4 4855 protein_coding
ZBTB12 221527 protein_coding
TAP2 6891 protein_coding
PRY2 442862 protein_coding
SLC6A3 6531 protein_coding
MLLT6 4302 protein_coding
ABCC1 4363 protein_coding
EIF1AY 9086 protein_coding
SFTA2 389376 protein_coding
ZNHIT3 9326 protein_coding
ATF6B 1388 protein_coding
BPY2 9083 protein_coding
SERPINA10 51156 protein_coding
UBR7 55148 protein_coding
SKIV2L 6499 protein_coding
TADA2A 6871 protein_coding
SERPINA2 390502 protein_coding
ASB2 51676 protein_coding
TBL1Y 90665 protein_coding
NPIPA1 9284 protein_coding
NPIPA1 642799 protein_coding
RGL2 5863 protein_coding
ITPK1 3705 protein_coding
NOMO3 408050 protein_coding
MRM1 79922 protein_coding
GGNBP2 79893 protein_coding
RBMY1E 378950 protein_coding
CCL15 6359 protein_coding
PIP4K2B 8396 protein_coding
OTUB2 78990 protein_coding
AATF 26574 protein_coding
FAM181A 90050 protein_coding
 TSPY9P protein_coding
COX8C 341947 protein_coding
IFI27L2 83982 protein_coding
DAZ2 57055 protein_coding
CHGA 1113 protein_coding
TBC1D3H 729877 protein_coding
HLA-DQA1 3117 protein_coding
DDX24 57062 protein_coding
C17orf98 388381 protein_coding
SOCS7 30837 protein_coding
HLA-C 3107 protein_coding
NELFE 7936 protein_coding
EPOP 100170841 protein_coding
RDM1 201299 protein_coding
GON7 84520 protein_coding
MYH11 4629 protein_coding
HLA-DQA2 3117 protein_coding
HLA-DQA2 3118 protein_coding
TSPY10 100289087 protein_coding
HEATR9 256957 protein_coding
SLC16A1 6566 protein_coding
 PRYP3 protein_coding
RBMY1A1 5940 protein_coding
GPANK1 7918 protein_coding
TSPY1 7258 protein_coding
PCDH11Y 83259 protein_coding
HNF1B 6928 protein_coding
DDX39B 7919 protein_coding
RBMY1J 378951 protein_coding
POU5F1 5460 protein_coding
SERTAD4 56256 protein_coding
HHAT 55733 protein_coding
RPS4Y2 140032 protein_coding
RBMY1B 378948 protein_coding
PIGW 284098 protein_coding
CCL5 6352 protein_coding
SRCIN1 80725 protein_coding
CDY1 9085 protein_coding
RBMY1D 378949 protein_coding
DAXX 1616 protein_coding
DAXX 113523636 protein_coding
DUSP14 11072 protein_coding
GPR179 440435 protein_coding
NLGN4Y 22829 protein_coding
CISD3 284106 protein_coding
LHX1 3975 protein_coding
SYNRG 11276 protein_coding
BPY2B 442867 protein_coding
 101059938 protein_coding
TSPY2 64591 protein_coding
HSFY2 159119 protein_coding
INPP5D 3635 protein_coding
ATG16L1 55054 protein_coding
KDM5D 8284 protein_coding
KAT6B 23522 protein_coding
C4A 720 protein_coding
C4A 110384692 protein_coding
C6orf47 57827 protein_coding
CWC25 54883 protein_coding
CDSN 1041 protein_coding
C17orf78 284099 protein_coding
CCL14 6358 protein_coding
HSFY1 86614 protein_coding
MMP28 79148 protein_coding
TGIF2LY 90655 protein_coding
TSPY3 728137 protein_coding
RBMY1F 159163 protein_coding
PRRC2A 7916 protein_coding
TAF15 8148 protein_coding
PHF1 5252 protein_coding
CDY2A 9426 protein_coding
HSD17B8 7923 protein_coding
TSPY8 728403 protein_coding
CDY1B 253175 protein_coding
AMELY 266 protein_coding
ZBTB22 9278 protein_coding
BPY2C 442868 protein_coding
DAZ4 57135 protein_coding
ATP6V1G2 534 protein_coding
SAG 6295 protein_coding
LY6G6D 58530 protein_coding
LY6G6D 110599563 protein_coding
 CCL15-CCL14 protein_coding
DHRS11 79154 protein_coding
ARHGAP23 57636 protein_coding
DGKD 8527 protein_coding
CDY2B 203611 protein_coding
DAZ1 1617 protein_coding
DXO 1797 protein_coding
PSMB3 5691 protein_coding
TBC1D3F 84218 protein_coding
DAZ3 57054 protein_coding
HLA-DQB1 3119 protein_coding
SRY 6736 protein_coding
RPS4Y1 6192 protein_coding
ZFY 7544 protein_coding
MUCL3 135656 protein_coding
VARS2 57176 protein_coding
DDX3Y 8653 protein_coding
ZNF445 353274 protein_coding
BCL2L14 79370 protein_coding
DUSP29 338599 protein_coding
UTY 7404 protein_coding
ZNF852 285346 protein_coding
ZKSCAN7 55888 protein_coding
LRP6 4040 protein_coding
C4B 721 protein_coding
OR10A6 390093 protein_coding
ZNF660 285349 protein_coding
ZNF197 10168 protein_coding
ZNF197 110354863 protein_coding
MANSC1 54682 protein_coding
ZNF35 7584 protein_coding
BORCS5 118426 protein_coding
DUSP16 80824 protein_coding
ZNF502 91392 protein_coding
ZNF501 115560 protein_coding
KIAA1143 57456 protein_coding
KIF15 56992 protein_coding
TMSB4Y 9087 protein_coding
VCY 9084 protein_coding
CYP21A2 1589 protein_coding
FOXR1 283150 protein_coding
CENATAC 338657 protein_coding
C1QTNF9 338872 protein_coding
PARP4 143 protein_coding
RPS25 6230 protein_coding
TMEM42 131616 protein_coding
TRAPPC4 51399 protein_coding
TGM4 7047 protein_coding
